transcript	hitid	hit description
Crpow_TRINITY_DN293545_c0_g1	AROC_ARATH	"Chorismate synthase, chloroplastic"
Crpow_TRINITY_DN59551_c4_g1	AROC_CAPSE	"Chorismate synthase, chloroplastic"
Crpow_TRINITY_DN8367_c0_g1	AROC_CAPSE	"Chorismate synthase, chloroplastic"
Crpow_TRINITY_DN7430_c0_g1	AROD1_ARATH	"Arogenate dehydratase/prephenate dehydratase 1, chloroplastic"
Crpow_TRINITY_DN543605_c0_g1	AROD2_ARATH	"Arogenate dehydratase/prephenate dehydratase 2, chloroplastic"
Crpow_TRINITY_DN39483_c0_g1	AROD2_PETHY	Arogenate dehydratase 2
Crpow_TRINITY_DN11824_c0_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN12332_c0_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN12332_c1_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN200127_c1_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN33775_c0_g2	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN508783_c0_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN575140_c0_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN77611_c0_g1	AROD3_PETHY	Arogenate dehydratase 3
Crpow_TRINITY_DN218143_c0_g2	AT5G2_BOVIN	"ATP synthase F(0) complex subunit C2, mitochondrial"
Crpow_TRINITY_DN312078_c0_g1	ATP14_YARLI	"ATP synthase subunit H, mitochondrial"
Crpow_TRINITY_DN90080_c0_g1	ATP14_YARLI	"ATP synthase subunit H, mitochondrial"
Crpow_TRINITY_DN147410_c0_g1	ATP4_IPOBA	"ATP synthase subunit delta', mitochondrial"
Crpow_TRINITY_DN284_c0_g1	ATP4_IPOBA	"ATP synthase subunit delta', mitochondrial"
Crpow_TRINITY_DN272886_c0_g1	ATP4_PEA	"ATP synthase subunit delta', mitochondrial"
Crpow_TRINITY_DN32283_c1_g1	ATP5E_ARATH	"ATP synthase subunit epsilon, mitochondrial"
Crpow_TRINITY_DN6971_c0_g1	ATP5H_ARATH	"ATP synthase subunit d, mitochondrial"
Crpow_TRINITY_DN179290_c0_g1	ATP5J_DROME	"ATP synthase-coupling factor 6, mitochondrial"
Crpow_TRINITY_DN82812_c0_g1	ATP6_ARTSF	ATP synthase subunit a
Crpow_TRINITY_DN137927_c0_g1	ATP6_COCHE	ATP synthase subunit a
Crpow_TRINITY_DN137927_c0_g2	ATP6_COCHE	ATP synthase subunit a
Crpow_TRINITY_DN208145_c0_g1	ATP6_COCHE	ATP synthase subunit a
Crpow_TRINITY_DN129685_c2_g1	ATP6_OENBE	ATP synthase subunit a
Crpow_TRINITY_DN16854_c2_g1	ATP6_OENBE	ATP synthase subunit a
Crpow_TRINITY_DN43113_c3_g1	ATP6_OENBE	ATP synthase subunit a
Crpow_TRINITY_DN75534_c1_g1	ATP6_OENBE	ATP synthase subunit a
Crpow_TRINITY_DN4164_c0_g1	ATP7_ARATH	"Probable ATP synthase 24 kDa subunit, mitochondrial"
Crpow_TRINITY_DN536497_c0_g1	ATP7_ARATH	"Probable ATP synthase 24 kDa subunit, mitochondrial"
Crpow_TRINITY_DN261317_c0_g1	ATP7_ASPTN	"ATP synthase subunit d, mitochondrial"
Crpow_TRINITY_DN595833_c0_g1	ATP7_ASPTN	"ATP synthase subunit d, mitochondrial"
Crpow_TRINITY_DN272414_c0_g1	ATP7_NEUCR	"ATP synthase subunit d, mitochondrial"
Crpow_TRINITY_DN158287_c0_g1	ATP9_NEUCR	"ATP synthase subunit 9, mitochondrial"
Crpow_TRINITY_DN542879_c0_g1	ATP9_NEUCR	"ATP synthase subunit 9, mitochondrial"
Crpow_TRINITY_DN246609_c0_g1	ATP9_TRIRU	"ATP synthase subunit 9, mitochondrial"
Crpow_TRINITY_DN83648_c0_g1	ATP9_TRIRU	"ATP synthase subunit 9, mitochondrial"
Crpow_TRINITY_DN283489_c1_g1	ATPA_MARPO	"ATP synthase subunit alpha, chloroplastic"
Crpow_TRINITY_DN131861_c0_g1	ATPA_MOUSE	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN206922_c0_g1	ATPA_NEUCR	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN234730_c0_g1	ATPA_NEUCR	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN73742_c0_g1	ATPA_NEUCR	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN28628_c0_g1	ATPA_PLAOC	"ATP synthase subunit alpha, chloroplastic"
Crpow_TRINITY_DN336228_c3_g1	ATPA_PLAOC	"ATP synthase subunit alpha, chloroplastic"
Crpow_TRINITY_DN373344_c0_g1	ATPA_RAT	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN16854_c0_g2	ATPAM_ORYSJ	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN464185_c3_g1	ATPAM_PEA	"ATP synthase subunit alpha, mitochondrial"
Crpow_TRINITY_DN11637_c0_g1	ATPB_AGAAF	"ATP synthase subunit beta, chloroplastic"
Crpow_TRINITY_DN32944_c0_g2	ATPB_AGAAF	"ATP synthase subunit beta, chloroplastic"
Crpow_TRINITY_DN193762_c0_g2	ATPB_MOUSE	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN169245_c0_g1	ATPB_NEUCR	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN184912_c0_g1	ATPB_NEUCR	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN211952_c0_g1	ATPB_NEUCR	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN203310_c0_g1	ATPB_SCHPO	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN74571_c0_g1	ATPBM_ACTDE	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN257667_c2_g1	ATPBM_MAIZE	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN2581_c0_g1	ATPBM_NICPL	"ATP synthase subunit beta, mitochondrial"
Crpow_TRINITY_DN257868_c0_g1	ATPD_NEUCR	"ATP synthase subunit delta, mitochondrial"
Crpow_TRINITY_DN257868_c1_g1	ATPD_NEUCR	"ATP synthase subunit delta, mitochondrial"
Crpow_TRINITY_DN585329_c0_g1	ATPD_NEUCR	"ATP synthase subunit delta, mitochondrial"
Crpow_TRINITY_DN4763_c0_g1	ATPD_SPIOL	"ATP synthase delta chain, chloroplastic"
Crpow_TRINITY_DN4763_c0_g2	ATPD_SPIOL	"ATP synthase delta chain, chloroplastic"
Crpow_TRINITY_DN88517_c0_g1	ATPD_SPIOL	"ATP synthase delta chain, chloroplastic"
Crpow_TRINITY_DN383113_c0_g2	ATPD_TOBAC	"ATP synthase delta chain, chloroplastic"
Crpow_TRINITY_DN88517_c0_g2	ATPD_TOBAC	"ATP synthase delta chain, chloroplastic"
Crpow_TRINITY_DN34487_c0_g1	ATPE_LIRTU	"ATP synthase epsilon chain, chloroplastic"
Crpow_TRINITY_DN53448_c1_g2	ATPE_PHAAO	"ATP synthase epsilon chain, chloroplastic"
Crpow_TRINITY_DN28628_c0_g1	ATPF_ACOCL	"ATP synthase subunit b, chloroplastic"
Crpow_TRINITY_DN31464_c0_g3	ATPF_PANGI	"ATP synthase subunit b, chloroplastic"
Crpow_TRINITY_DN173190_c0_g1	ATPF_PARBR	"ATP synthase subunit 4, mitochondrial"
Crpow_TRINITY_DN287398_c0_g1	ATPF_PARBR	"ATP synthase subunit 4, mitochondrial"
Crpow_TRINITY_DN12004_c0_g2	ATPF1_HUMAN	ATP synthase mitochondrial F1 complex assembly factor 1
Crpow_TRINITY_DN186089_c0_g2	ATPF2_HUMAN	ATP synthase mitochondrial F1 complex assembly factor 2
Crpow_TRINITY_DN601_c0_g1	ATPF2_HUMAN	ATP synthase mitochondrial F1 complex assembly factor 2
Crpow_TRINITY_DN209723_c0_g1	ATPF2_SPIOL	"ATP synthase subunit b', chloroplastic"
Crpow_TRINITY_DN272316_c0_g3	ATPF2_SPIOL	"ATP synthase subunit b', chloroplastic"
Crpow_TRINITY_DN260543_c0_g1	ATPG_YARLI	"ATP synthase subunit gamma, mitochondrial"
Crpow_TRINITY_DN80360_c0_g1	ATPG_YARLI	"ATP synthase subunit gamma, mitochondrial"
Crpow_TRINITY_DN260472_c0_g2	ATPG1_ARATH	"ATP synthase gamma chain 1, chloroplastic"
Crpow_TRINITY_DN5673_c0_g1	ATPG1_ARATH	"ATP synthase gamma chain 1, chloroplastic"
Crpow_TRINITY_DN348_c0_g1	ATPG3_IPOBA	"ATP synthase subunit gamma, mitochondrial"
Crpow_TRINITY_DN510184_c0_g1	ATPG3_IPOBA	"ATP synthase subunit gamma, mitochondrial"
Crpow_TRINITY_DN546510_c0_g1	ATPG3_IPOBA	"ATP synthase subunit gamma, mitochondrial"
Crpow_TRINITY_DN47283_c1_g1	ATPI_NANDO	"ATP synthase subunit a, chloroplastic"
Crpow_TRINITY_DN14789_c0_g1	ATPI_PHAAO	"ATP synthase subunit a, chloroplastic"
Crpow_TRINITY_DN229725_c0_g1	ATPK_YEAST	"ATP synthase subunit f, mitochondrial"
Crpow_TRINITY_DN522615_c0_g1	ATPK_YEAST	"ATP synthase subunit f, mitochondrial"
Crpow_TRINITY_DN207176_c0_g1	ATPN_YEAST	"ATP synthase subunit g, mitochondrial"
Crpow_TRINITY_DN127433_c0_g1	ATPO_IPOBA	"ATP synthase subunit O, mitochondrial"
Crpow_TRINITY_DN12831_c0_g1	ATPO_IPOBA	"ATP synthase subunit O, mitochondrial"
Crpow_TRINITY_DN479896_c0_g1	ATPO_IPOBA	"ATP synthase subunit O, mitochondrial"
Crpow_TRINITY_DN178496_c0_g1	ATPO_NEUCR	"ATP synthase subunit 5, mitochondrial"
Crpow_TRINITY_DN254883_c0_g1	ATPO_NEUCR	"ATP synthase subunit 5, mitochondrial"
Crpow_TRINITY_DN291919_c1_g1	ATPO_NEUCR	"ATP synthase subunit 5, mitochondrial"
Crpow_TRINITY_DN560499_c0_g1	ATPO_RAT	"ATP synthase subunit O, mitochondrial"
Crpow_TRINITY_DN5118_c1_g2	C3H_NARPS	p-coumarate 3-hydroxylase
Crpow_TRINITY_DN119811_c1_g1	C4H1_PETHY	Trans-cinnamate 4-monooxygenase C4H1
Crpow_TRINITY_DN272257_c0_g1	C4H2_PETHY	Trans-cinnamate 4-monooxygenase C4H2
Crpow_TRINITY_DN11114_c0_g3	C96T1_NARAP	Noroxomaritidine synthase
Crpow_TRINITY_DN20979_c0_g1	C96T1_NARAP	Noroxomaritidine synthase
Crpow_TRINITY_DN6890_c0_g1	C96T1_NARAP	Noroxomaritidine synthase
Crpow_TRINITY_DN78462_c0_g1	C96T1_NARAP	Noroxomaritidine synthase
Crpow_TRINITY_DN78462_c0_g2	C96T1_NARAP	Noroxomaritidine synthase
Crpow_TRINITY_DN2907_c0_g3	C96T1_NARPS	Noroxomaritidine synthase 1
Crpow_TRINITY_DN11074_c0_g1	C96T2_NARAP	Noroxomaritidine synthase 2
Crpow_TRINITY_DN2907_c0_g1	C96T2_NARAP	Noroxomaritidine synthase 2
Crpow_TRINITY_DN2907_c1_g1	C96T2_NARAP	Noroxomaritidine synthase 2
Crpow_TRINITY_DN56315_c1_g1	C96T2_NARPS	Noroxomaritidine synthase 2
Crpow_TRINITY_DN6890_c0_g1	C96T2_NARPS	Noroxomaritidine synthase 2
Crpow_TRINITY_DN11074_c0_g2	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN11074_c1_g1	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN11114_c0_g2	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN29661_c0_g1	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN41177_c0_g1	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN41177_c0_g3	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN56315_c0_g1	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN56315_c0_g2	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN6890_c0_g1	C96T3_NARAP	Noroxomaritidine synthase 3
Crpow_TRINITY_DN567867_c0_g1	CAMT_MEDSA	Caffeoyl-CoA O-methyltransferase
Crpow_TRINITY_DN11908_c0_g1	CAMT_POPTM	Caffeoyl-CoA O-methyltransferase
Crpow_TRINITY_DN11908_c0_g2	CAMT_POPTM	Caffeoyl-CoA O-methyltransferase
Crpow_TRINITY_DN11908_c0_g3	CAMT_POPTM	Caffeoyl-CoA O-methyltransferase
Crpow_TRINITY_DN172706_c0_g1	CAMT_POPTM	Caffeoyl-CoA O-methyltransferase
Crpow_TRINITY_DN32855_c0_g1	CAMT2_POPTR	Caffeoyl-CoA O-methyltransferase 2
Crpow_TRINITY_DN29499_c0_g1	CAMT3_ARATH	Probable caffeoyl-CoA O-methyltransferase At4g26220
Crpow_TRINITY_DN3317_c0_g1	CM1_PETHY	"Chorismate mutase 1, chloroplastic"
Crpow_TRINITY_DN13568_c1_g1	CM2_ARATH	Chorismate mutase 2
Crpow_TRINITY_DN45018_c0_g2	CM2_ARATH	Chorismate mutase 2
Crpow_TRINITY_DN117254_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN117254_c0_g3	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN1204_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN1204_c0_g2	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN12095_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN13999_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN1629_c0_g2	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN17256_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN214_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN28339_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN35324_c0_g2	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN5356_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN69374_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN6947_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN8238_c2_g2	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN8687_c0_g1	CSE_ARATH	Caffeoylshikimate esterase
Crpow_TRINITY_DN10377_c0_g1	DHQS_ACTCC	"3-dehydroquinate synthase, chloroplastic"
Crpow_TRINITY_DN13480_c0_g1	DHQS_ACTCC	"3-dehydroquinate synthase, chloroplastic"
Crpow_TRINITY_DN634_c0_g1	DHQS_METST	3-dehydroquinate synthase
Crpow_TRINITY_DN1150_c0_g1	DHQSD_ARATH	"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Crpow_TRINITY_DN1150_c0_g2	DHQSD_ARATH	"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Crpow_TRINITY_DN263748_c0_g2	DHQSD_ARATH	"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Crpow_TRINITY_DN263748_c0_g2	DHQSD_ARATH	"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Crpow_TRINITY_DN34849_c0_g2	DHQSD_ARATH	"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Crpow_TRINITY_DN65706_c1_g2	DHQSD_ARATH	"Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic"
Crpow_TRINITY_DN11044_c0_g1	GCSP_FLATR	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN48508_c0_g1	GCSP_FLATR	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN29807_c0_g1	GCSP_SOLTU	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN29807_c0_g2	GCSP_SOLTU	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN3121_c0_g1	GCSP_SOLTU	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN3121_c0_g2	GCSP_SOLTU	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN80296_c2_g1	GCSP_SOLTU	"Glycine dehydrogenase (decarboxylating), mitochondrial"
Crpow_TRINITY_DN3121_c0_g1	GCSPA_FLAPR	"Glycine dehydrogenase (decarboxylating) A, mitochondrial"
Crpow_TRINITY_DN48508_c0_g1	GCSPA_FLAPR	"Glycine dehydrogenase (decarboxylating) A, mitochondrial"
Crpow_TRINITY_DN152860_c0_g1	GLNA_CRYNJ	Glutamine synthetase
Crpow_TRINITY_DN22778_c0_g1	GLNA_EMENI	Glutamine synthetase
Crpow_TRINITY_DN595933_c0_g1	GLNA_EMENI	Glutamine synthetase
Crpow_TRINITY_DN177761_c0_g1	GLNA_GIBFU	Glutamine synthetase
Crpow_TRINITY_DN109645_c0_g1	GLNA_HEBCY	Glutamine synthetase
Crpow_TRINITY_DN1750_c3_g1	GLNA_LUPLU	Glutamine synthetase nodule isozyme
Crpow_TRINITY_DN526169_c0_g1	GLNA_MOUSE	Glutamine synthetase
Crpow_TRINITY_DN4596_c0_g1	GLNA_NICPL	Glutamine synthetase
Crpow_TRINITY_DN4596_c0_g1	GLNA_VIGAC	Glutamine synthetase nodule isozyme
Crpow_TRINITY_DN54841_c0_g1	GLNA_VIGAC	Glutamine synthetase nodule isozyme
Crpow_TRINITY_DN602902_c0_g1	GLNA_VIGAC	Glutamine synthetase nodule isozyme
Crpow_TRINITY_DN4596_c0_g1	GLNA1_MEDSA	Glutamine synthetase cytosolic isozyme
Crpow_TRINITY_DN351036_c0_g2	GLNA1_VITVI	Glutamine synthetase cytosolic isozyme 1
Crpow_TRINITY_DN100174_c0_g1	GLNA2_ARATH	"Glutamine synthetase, chloroplastic/mitochondrial"
Crpow_TRINITY_DN1750_c0_g1	GLNA2_DAUCA	"Glutamine synthetase, chloroplastic"
Crpow_TRINITY_DN32285_c1_g1	GLNA2_DAUCA	"Glutamine synthetase, chloroplastic"
Crpow_TRINITY_DN586743_c0_g1	GLNA2_MEDSA	"Glutamine synthetase leaf isozyme, chloroplastic"
Crpow_TRINITY_DN1750_c0_g2	GLNA2_ORYSJ	"Glutamine synthetase, chloroplastic"
Crpow_TRINITY_DN193188_c0_g2	GLNA2_VITVI	Glutamine synthetase cytosolic isozyme 2
Crpow_TRINITY_DN4596_c0_g1	GLNA2_VITVI	Glutamine synthetase cytosolic isozyme 2
Crpow_TRINITY_DN89278_c3_g1	GLNA4_PHAVU	"Glutamine synthetase leaf isozyme, chloroplastic"
Crpow_TRINITY_DN6165_c0_g1	GLSN_MEDSA	"Glutamate synthase [NADH], amyloplastic"
Crpow_TRINITY_DN273889_c0_g1	GLT1_ORYSJ	"Glutamate synthase 1 [NADH], chloroplastic"
Crpow_TRINITY_DN110023_c0_g1	GLTB_HORVU	Ferredoxin-dependent glutamate synthase
Crpow_TRINITY_DN11168_c0_g1	GLTB_ORYSJ	"Ferredoxin-dependent glutamate synthase, chloroplastic"
Crpow_TRINITY_DN4189_c0_g1	GLTB_ORYSJ	"Ferredoxin-dependent glutamate synthase, chloroplastic"
Crpow_TRINITY_DN224270_c0_g1	GLTB_SPIOL	"Ferredoxin-dependent glutamate synthase, chloroplastic"
Crpow_TRINITY_DN35619_c0_g1	GLUT1_ARATH	"Glutamate synthase 1 [NADH], chloroplastic"
Crpow_TRINITY_DN6165_c0_g1	GLUT1_ARATH	"Glutamate synthase 1 [NADH], chloroplastic"
Crpow_TRINITY_DN196170_c0_g3	GLYC_CANGB	"Serine hydroxymethyltransferase, cytosolic"
Crpow_TRINITY_DN176079_c1_g2	GLYC4_ARATH	Serine hydroxymethyltransferase 4
Crpow_TRINITY_DN4856_c0_g1	GLYC4_ARATH	Serine hydroxymethyltransferase 4
Crpow_TRINITY_DN866_c0_g1	GLYC7_ARATH	Serine hydroxymethyltransferase 7
Crpow_TRINITY_DN196170_c0_g2	GLYM_NEUCR	"Putative serine hydroxymethyltransferase, mitochondrial"
Crpow_TRINITY_DN545465_c0_g1	GLYM_NEUCR	"Putative serine hydroxymethyltransferase, mitochondrial"
Crpow_TRINITY_DN3168_c0_g1	GLYM_SOLTU	"Serine hydroxymethyltransferase, mitochondrial"
Crpow_TRINITY_DN85263_c0_g2	GLYM1_ARATH	"Serine hydroxymethyltransferase 1, mitochondrial"
Crpow_TRINITY_DN3168_c0_g1	GLYM1_FLAPR	"Serine hydroxymethyltransferase 1, mitochondrial"
Crpow_TRINITY_DN9076_c0_g1	GLYP3_ARATH	"Serine hydroxymethyltransferase 3, chloroplastic"
Crpow_TRINITY_DN2237_c0_g1	KAD1_ARATH	"Adenylate kinase 1, chloroplastic"
Crpow_TRINITY_DN17494_c0_g3	KAD1_SOLTU	Adenylate kinase
Crpow_TRINITY_DN70598_c3_g1	KAD1_SOLTU	Adenylate kinase
Crpow_TRINITY_DN294542_c0_g1	KAD2_ASPNC	Adenylate kinase
Crpow_TRINITY_DN545196_c0_g1	KAD2_MAGO7	Adenylate kinase
Crpow_TRINITY_DN2778_c1_g1	KAD2_ORYSJ	"Probable adenylate kinase 2, chloroplastic"
Crpow_TRINITY_DN2435_c0_g1	KAD4_ORYSJ	Adenylate kinase 4
Crpow_TRINITY_DN12071_c0_g1	KAD5_ORYSJ	"Probable adenylate kinase 5, chloroplastic"
Crpow_TRINITY_DN337_c0_g1	KAD6_ARATH	Adenylate kinase isoenzyme 6 homolog
Crpow_TRINITY_DN34112_c0_g1	KAD6_ARATH	Adenylate kinase isoenzyme 6 homolog
Crpow_TRINITY_DN483257_c0_g1	KAD6_ARATH	Adenylate kinase isoenzyme 6 homolog
Crpow_TRINITY_DN115245_c0_g1	KAD7_ARATH	"Probable adenylate kinase 7, mitochondrial"
Crpow_TRINITY_DN115245_c2_g1	KAD7_ORYSJ	"Probable adenylate kinase 7, mitochondrial"
Crpow_TRINITY_DN206_c0_g1	KAD7_ORYSJ	"Probable adenylate kinase 7, mitochondrial"
Crpow_TRINITY_DN158158_c0_g1	KADC_MAIZE	"Adenylate kinase, chloroplastic"
Crpow_TRINITY_DN1066_c3_g1	METK_CARPA	S-adenosylmethionine synthase
Crpow_TRINITY_DN386_c1_g1	METK_DENCR	S-adenosylmethionine synthase
Crpow_TRINITY_DN386_c38_g1	METK_DENCR	S-adenosylmethionine synthase
Crpow_TRINITY_DN130489_c1_g2	METK_MEDTR	S-adenosylmethionine synthase
Crpow_TRINITY_DN386_c1_g3	METK_MUSAC	S-adenosylmethionine synthase
Crpow_TRINITY_DN57000_c0_g1	METK_MUSAC	S-adenosylmethionine synthase
Crpow_TRINITY_DN182819_c0_g1	METK_NEUCR	S-adenosylmethionine synthase
Crpow_TRINITY_DN10753_c2_g1	METK1_ELAUM	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN288390_c1_g1	METK1_ELAUM	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN10753_c7_g1	METK1_PETCR	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN10753_c1_g2	METK1_SOLTU	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN24665_c0_g1	METK1_SOLTU	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN24665_c0_g3	METK1_SOLTU	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN386_c10_g7	METK1_SOLTU	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN386_c37_g1	METK1_SOLTU	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN7025_c8_g1	METK1_VITVI	S-adenosylmethionine synthase 1
Crpow_TRINITY_DN510549_c0_g1	METK2_ACTCC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN288390_c0_g1	METK2_ELAUM	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN125006_c0_g1	METK2_PETCR	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN10753_c1_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN133223_c0_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN24665_c1_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN24665_c7_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN288390_c2_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN329866_c4_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN386_c4_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN7025_c8_g1	METK2_TOBAC	S-adenosylmethionine synthase 2
Crpow_TRINITY_DN386_c1_g2	METK2_VITVI	S-adenosylmethionine synthase 2
